scenario_type,rental_period,hardware_condition,installed_capex_per_gpu,assumed_paid_occupancy,assumed_monthly_cash_opex,fast_payback_months,slow_payback_months
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.7,200,30.30431465626854,40.94605428931394
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.7,400,36.490762478309684,53.11246471549548
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.7,600,45.85096832114916,75.56541957302898
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.85,200,24.231538279052426,32.41013553329405
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.85,400,28.03152075900733,39.588062676485244
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.85,600,33.24499000325475,50.84986843041036
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.9,200,22.71427663765169,30.30431465626854
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.9,400,26.02081665332265,36.490762478309684
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,0.9,600,30.45404208194905,45.85096832114916
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,1.0,200,20.186335403726705,26.8192048012003
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,1.0,400,22.756206238064923,31.553398058252426
hypothetical_not_borrower_data,Apr 2026 price range,refurbished,35750.0,1.0,600,26.075857038657908,38.31725616291533
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.7,200,38.61553784860558,52.175867598213266
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.7,400,46.49867306318261,67.67902243351658
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.7,600,58.42599717840194,96.28989642781654
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.85,200,30.87724946622835,41.29889850868048
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.85,400,35.71941035794095,50.445434915010246
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.85,600,42.362719114706834,64.79588933930731
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.9,200,28.943865556896874,38.61553784860558
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.9,400,33.15725307518741,46.49867306318261
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,0.9,600,38.80632932958513,58.42599717840194
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,1.0,200,25.722614342179558,34.17460615153789
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,1.0,400,28.997294716740925,40.20719329214475
hypothetical_not_borrower_data,Apr 2026 price range,new,45554.75,1.0,600,33.22738876732311,48.82609860664523
